,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
553,2,Viman Nagar,1030,8349,2.0,86.0,2010.0,-11.0
554,2,Wagholi,980,4489,2.0,44.0,2016.0,-5.0
555,2,Viman Nagar,1250,6640,2.0,83.0,2015.0,-6.0
556,2,Viman Nagar,1150,7130,2.0,82.0,2015.0,-6.0
557,2,Viman Nagar,1050,7714,2.0,81.0,2010.0,-11.0
558,2,Viman Nagar,980,7959,2.0,78.0,2015.0,-6.0
559,2,Wagholi,980,3826,2.0,37.5,2017.0,-4.0
560,3,Kharadi,921,8143,3.0,75.0,2022.0,1.0
561,2,Viman Nagar,900,8555,2.0,77.0,2015.0,-6.0
562,2,Viman Nagar,900,8444,2.0,76.0,2015.0,-6.0
563,2,Wagholi,854,4215,2.0,36.0,2017.0,-4.0
564,2,Viman Nagar,998,7494,2.0,74.8,2010.0,-11.0
565,2,Viman Nagar,1000,7300,2.0,73.0,2010.0,-11.0
566,2,Viman Nagar,1200,6000,2.0,72.0,2015.0,-6.0
567,2,Kharadi,604,8278,2.0,50.0,2022.0,1.0
568,2,Viman Nagar,950,7157,2.0,68.0,2010.0,-11.0
570,2,Tathawade,949,5268,2.0,50.0,2025.0,4.0
573,1,Hinjewadi,553,6582,1.0,36.4,2024.0,3.0
574,2,Tathawade,990,4545,2.0,45.0,2023.0,2.0
575,2,Tathawade,950,4736,2.0,45.0,2022.0,1.0
577,1,Hadapsar,605,4545,2.0,27.5,2014.0,-7.0
580,2,Bavdhan Budruk,950,8105,2.0,77.0,2020.0,-1.0
581,2,Mundhwa,1058,6332,2.0,67.0,2023.0,2.0
582,3,Mundhwa,1432,6215,3.0,89.0,2023.0,2.0
583,2,Mundhwa,846,6382,2.0,54.0,2023.0,2.0
584,3,Viman Nagar,1605,10280,3.0,165.0,2009.0,-12.0
585,2,Wagholi,990,4040,2.0,40.0,2017.0,-4.0
586,2,Viman Nagar,1100,6363,2.0,70.0,2015.0,-6.0
587,1,Wagholi,680,4191,1.0,28.5,2017.0,-4.0
588,2,Viman Nagar,785,12738,2.0,100.0,2015.0,-6.0
589,2,Viman Nagar,1265,9881,2.0,125.0,2015.0,-6.0
590,3,Viman Nagar,1691,9166,3.0,155.0,2015.0,-6.0
591,1,Viman Nagar,630,9523,1.0,60.0,2015.0,-6.0
592,3,Wagholi,1560,4294,3.0,67.0,2015.0,-6.0
593,3,Viman Nagar,2800,6964,3.0,195.0,2015.0,-6.0
594,2,Viman Nagar,1092,8882,2.0,97.0,2015.0,-6.0
595,2,Viman Nagar,950,7157,2.0,68.0,2007.0,-14.0
596,3,Viman Nagar,1500,8666,3.0,130.0,2010.0,-11.0
597,2,Viman Nagar,1200,7250,2.0,87.0,2015.0,-6.0
598,2,Viman Nagar,1160,8189,2.0,95.0,2007.0,-14.0
599,3,Viman Nagar,1680,10416,3.0,175.0,2010.0,-11.0
